1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;;;
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl;;;;;
------;Straftaten insgesamt;1001;Flensburg;KfS;8,380;9,294;598;7.1;11;5;5,293;63.2;3,618;2,786;832;1,233;34.1;0;;1001;Flensburg;90,164
------;Straftaten insgesamt;1002;Kiel;KfS;21,384;8,665;1,413;6.6;23;5;11,241;52.6;7,278;5,616;1,662;2,072;28.5;0;;1002;Kiel;246,794
------;Straftaten insgesamt;1003;Lübeck;KfS;20,942;9,672;1,513;7.2;26;13;11,959;57.1;7,603;5,762;1,841;1,841;24.2;0;;1003;Lübeck;216,530
------;Straftaten insgesamt;1004;Neumünster;KfS;9,453;11,787;672;7.1;7;4;5,836;61.7;4,170;3,097;1,073;1,955;46.9;0;;1004;Neumünster;80,196
------;Straftaten insgesamt;1051;Dithmarschen;K;6,597;4,953;457;6.9;13;12;3,944;59.8;2,989;2,231;758;535;17.9;0;;1051;Dithmarschen;133,193
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;9,957;5,028;832;8.4;11;17;5,500;55.2;4,197;3,176;1,021;995;23.7;0;;1053;Herzogtum Lauenburg;198,019
------;Straftaten insgesamt;1054;Nordfriesland;K;8,444;5,088;482;5.7;10;20;4,868;57.7;3,472;2,641;831;644;18.5;0;;1054;Nordfriesland;165,951
------;Straftaten insgesamt;1055;Ostholstein;K;11,715;5,842;976;8.3;12;17;6,402;54.6;5,162;4,010;1,152;1,258;24.4;0;;1055;Ostholstein;200,539
------;Straftaten insgesamt;1056;Pinneberg;K;17,338;5,485;1,213;7;15;12;8,926;51.5;6,914;5,365;1,549;2,092;30.3;0;;1056;Pinneberg;316,103
------;Straftaten insgesamt;1057;Plön;K;5,341;4,150;404;7.6;5;4;3,008;56.3;2,240;1,695;545;306;13.7;0;;1057;Plön;128,686
