1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl
------;Straftaten insgesamt;1001;Flensburg;KfS;9,677;10,621;764;7.9;12;6;5,824;60.2;3,772;2,876;896;1,311;34.8
------;Straftaten insgesamt;1002;Kiel;KfS;23,647;9,603;1,605;6.8;23;15;11,631;49.2;7,480;5,656;1,824;2,317;31
------;Straftaten insgesamt;1003;Lübeck;KfS;21,959;10,153;1,631;7.4;17;12;12,541;57.1;8,424;6,228;2,196;2,229;26.5
------;Straftaten insgesamt;1004;Neumünster;KfS;12,678;15,948;782;6.2;10;7;7,684;60.6;5,735;4,231;1,504;3,509;61.2
------;Straftaten insgesamt;1051;Dithmarschen;K;7,164;5,348;474;6.6;9;13;3,848;53.7;2,773;2,096;677;584;21.1
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;9,978;4,969;840;8.4;11;14;5,427;54.4;4,284;3,260;1,024;1,180;27.5
------;Straftaten insgesamt;1054;Nordfriesland;K;42,788;25,536;563;1.3;10;56;38,838;90.8;3,632;2,717;915;734;20.2
------;Straftaten insgesamt;1055;Ostholstein;K;12,755;6,314;1,269;9.9;12;8;6,600;51.7;5,085;3,853;1,232;1,161;22.8
------;Straftaten insgesamt;1056;Pinneberg;K;19,718;6,194;1,581;8;18;32;9,865;50;7,365;5,641;1,724;2,421;32.9
------;Straftaten insgesamt;1057;Plön;K;5,181;3,995;367;7.1;2;5;2,751;53.1;2,256;1,681;575;379;16.8
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;11,857;4,295;886;7.5;11;22;6,237;52.6;4,856;3,760;1,096;1,122;23.1
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9,529;4,676;683;7.2;4;28;6,084;63.8;4,796;3,756;1,040;1,744;36.4
------;Straftaten insgesamt;1060;Segeberg;K;14,254;5,083;1,095;7.7;20;30;7,362;51.6;6,143;4,680;1,463;2,068;33.7
------;Straftaten insgesamt;1061;Steinburg;K;7,005;5,354;426;6.1;7;10;4,002;57.1;3,026;2,316;710;693;22.9
------;Straftaten insgesamt;1062;Stormarn;K;12,993;5,294;1,293;10;16;12;6,390;49.2;5,184;4,139;1,045;1,684;32.5
------;Straftaten insgesamt;2000;Hamburg;KfS;206,106;11,117;14,652;7.1;118;84;97,154;47.1;64,953;49,703;15,250;30,796;47.4
