1;2;3;4;5;6;7;8;9;10;11;12;
Schluessel;Straftat;Bundesland;erfasste Faelle;Haeufigkeitszahl nach Zensus;von Spalte 4 Versuche Anzahl;von Spalte 4 Versuche in %;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %;
------;Straftaten†insgesamt;8;Baden-Wuerttemberg;609,133;5,598.80;36,914;6.1;366,844;60.2;251,141;107,417;42.8
------;Straftaten†insgesamt;9;Bayern;882,473;6,871.00;98,663;11.2;581,860;65.9;446,433;266,089;59.6
------;Straftaten†insgesamt;11;Berlin;568,860;16,160.70;45,444;8;239,130;42;148,042;66,275;44.8
------;Straftaten†insgesamt;12;Brandenburg;185,831;7,478.60;13,800;7.4;98,457;53;67,127;15,407;23
------;Straftaten†insgesamt;4;Bremen;91,904;13,686.60;9,441;10.3;44,494;48.4;28,569;12,585;44.1
------;Straftaten†insgesamt;2;Hamburg;239,230;13,384.20;18,145;7.6;107,085;44.8;74,888;35,497;47.4
------;Straftaten†insgesamt;6;Hessen;412,104;6,672.50;29,616;7.2;258,483;62.7;178,260;92,618;52
------;Straftaten†insgesamt;13;Mecklenburg-Vorpommern;123,061;7,632.30;6,666;5.4;77,242;62.8;51,502;12,651;24.6
------;Straftaten†insgesamt;3;Niedersachsen;561,963;7,089.60;42,430;7.6;345,080;61.4;222,092;62,193;28
------;Straftaten†insgesamt;5;Nordrhein-Westfalen;1,469,426;8,224.90;134,051;9.1;744,639;50.7;494,885;177,778;35.9
------;Straftaten†insgesamt;7;Rheinland-Pfalz;274,593;6,775.40;18,476;6.7;178,287;64.9;126,536;48,409;38.3
------;Straftaten†insgesamt;10;Saarland;76,981;7,732.10;6,573;8.5;44,902;58.3;33,098;13,857;41.9
------;Straftaten†insgesamt;14;Sachsen;324,736;7,949.80;27,889;8.6;181,084;55.8;111,882;36,896;33
------;Straftaten†insgesamt;15;Sachsen-Anhalt;196,464;8,749.30;19,057;9.7;108,846;55.4;73,258;18,156;24.8
------;Straftaten†insgesamt;1;Schleswig-Holstein;206,541;7,225.00;16,034;7.8;112,535;54.5;83,483;30,795;36.9
------;Straftaten†insgesamt;16;Thueringen;149,226;6,874.50;10,448;7;95,199;63.8;60,003;10,302;17.2
------;Straftaten†insgesamt;70;Bund echte Zaehlung der Tatverdaechtigen;6,372,526;7,754.80;533,647;8.4;3,584,167;56.2;2,360,806;953,744;40.4
0;Straftaten†gegen†das†Leben;8;Baden-Wuerttemberg;403;3.7;255;63.3;376;93.3;480;198;41.3
0;Straftaten†gegen†das†Leben;9;Bayern;587;4.6;358;61;556;94.7;667;235;35.2
0;Straftaten†gegen†das†Leben;11;Berlin;167;4.7;61;36.5;131;78.4;191;80;41.9
0;Straftaten†gegen†das†Leben;12;Brandenburg;90;3.6;27;30;79;87.8;104;17;16.3
0;Straftaten†gegen†das†Leben;4;Bremen;44;6.6;27;61.4;38;86.4;41;18;43.9
0;Straftaten†gegen†das†Leben;2;Hamburg;94;5.3;58;61.7;85;90.4;109;49;45
0;Straftaten†gegen†das†Leben;6;Hessen;328;5.3;211;64.3;289;88.1;377;164;43.5
0;Straftaten†gegen†das†Leben;13;Mecklenburg-Vorpommern;45;2.8;19;42.2;43;95.6;50;3;6
0;Straftaten†gegen†das†Leben;3;Niedersachsen;514;6.5;244;47.5;475;92.4;619;171;27.6
0;Straftaten†gegen†das†Leben;5;Nordrhein-Westfalen;461;2.6;268;58.1;438;95;528;176;33.3
0;Straftaten†gegen†das†Leben;7;Rheinland-Pfalz;110;2.7;59;53.6;107;97.3;131;45;34.4
0;Straftaten†gegen†das†Leben;10;Saarland;21;2.1;11;52.4;20;95.2;23;9;39.1
0;Straftaten†gegen†das†Leben;14;Sachsen;136;3.3;81;59.6;120;88.2;158;45;28.5
0;Straftaten†gegen†das†Leben;15;Sachsen-Anhalt;106;4.7;57;53.8;94;88.7;142;25;17.6
0;Straftaten†gegen†das†Leben;1;Schleswig-Holstein;72;2.5;44;61.1;62;86.1;75;28;37.3
0;Straftaten†gegen†das†Leben;16;Thueringen;64;2.9;27;42.2;56;87.5;71;13;18.3
0;Straftaten†gegen†das†Leben;70;Bund echte Zaehlung der Tatverdaechtigen;3,242;3.9;1,807;55.7;2,969;91.6;3,765;1,276;33.9
10000;Mord†ß†211†StGB;8;Baden-Wuerttemberg;94;0.9;60;63.8;84;89.4;101;46;45.5
10000;Mord†ß†211†StGB;9;Bayern;150;1.2;99;66;142;94.7;136;55;40.4
10000;Mord†ß†211†StGB;11;Berlin;37;1.1;24;64.9;35;94.6;61;34;55.7
10000;Mord†ß†211†StGB;12;Brandenburg;16;0.6;9;56.3;16;100;17;4;23.5
