1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;6330649;100;481103;7.6;1463274;1675207;1297402;1812853;81913;4289;4711;3564811;56;2369036;1781388;587648;911864;38.5
0;Straftaten gegen das Leben;2991;0;1595;53.3;893;985;514;595;4;8;130;2721;91;3497;2911;586;1023;29.3
10000;Mord § 211 StGB;649;0;368;56.7;200;210;114;124;1;3;57;615;95;731;641;90;207;28.3
10079;Sonstiger Mord;600;0;342;57;182;197;107;113;1;2;55;569;95;664;577;87;188;28.3
11000;Mord im Zusammenhang mit Raubdelikten;36;0;21;58.3;11;12;5;8;0;1;2;35;97;56;53;3;18;32.1
12000;Mord im Zusammenhang mit Sexualdelikten;13;0;5;38.5;7;1;2;3;0;0;0;11;85;11;11;0;1;9.1
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1467;0;1183;80.6;413;470;272;311;1;5;72;1390;95;1771;1565;206;696;39.3
20010;Totschlag § 212 StGB;1448;0;1174;81.1;406;464;270;307;1;5;71;1371;95;1749;1547;202;694;39.7
20020;Minder schwerer Totschlag § 213 StGB;6;0;5;83.3;1;4;1;0;0;0;0;6;100;6;5;1;2;33.3
20030;Tötung auf Verlangen § 216 StGB;13;0;4;30.8;6;2;1;4;0;0;1;13;100;16;13;3;0;0
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;756;0;0;0;256;272;99;129;0;0;1;610;81;888;626;262;83;9.3
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;119;0;44;37;24;33;29;31;2;0;0;106;89;119;91;28;41;34.5
40010;Schwangerschaftsabbruch § 218 StGB;85;0;42;49.4;16;21;24;23;1;0;0;79;93;88;68;20;37;42
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;6;0;2;33.3;3;1;1;1;0;0;0;5;83;5;5;0;3;60
40030;Ärztliche Pflichtverletzung § 218c StGB;1;0;0;0;0;1;0;0;0;0;0;1;100;1;0;1;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;27;0;0;0;5;10;4;7;1;0;0;21;78;25;18;7;1;4
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;46081;0.7;3085;6.7;14055;13039;8596;9309;1082;27;5;36532;79;32079;29886;2193;6592;20.5
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;12405;0.2;2084;16.8;3498;3684;2547;2592;84;25;4;10035;81;10087;9939;148;3121;30.9
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;7022;0.1;1088;15.5;1731;2023;1530;1693;45;22;3;5679;81;5896;5823;73;1952;33.1
111100;Vergewaltigung überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1134;0;367;32.4;270;318;244;298;4;7;0;731;65;692;690;2;237;34.2
111200;Vergewaltigung überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;146;0;41;28.1;17;46;34;49;0;0;0;41;28;80;79;1;33;41.3
111300;Vergewaltigung durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;254;0;29;11.4;57;69;49;79;0;2;0;151;59;360;341;19;166;46.1
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;5488;0.1;651;11.9;1387;1590;1203;1267;41;13;3;4756;87;4797;4746;51;1531;31.9
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;4786;0.1;969;20.2;1558;1496;888;814;30;3;1;3783;79;3819;3771;48;1171;30.7
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;597;0;27;4.5;209;165;129;85;9;0;0;573;96;506;479;27;49;9.7
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;416;0;22;5.3;160;125;64;60;7;0;0;400;96;395;374;21;42;10.6
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;26;0;3;11.5;12;4;2;7;1;0;0;22;85;17;14;3;1;5.9
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;6;0;0;0;2;2;2;0;0;0;0;5;83;5;5;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;149;0;2;1.3;35;34;61;18;1;0;0;146;98;92;89;3;6;6.5
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;21860;0.3;977;4.5;6887;6339;4166;4160;308;2;1;16166;74;13937;13377;560;2506;18
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;11808;0.2;665;5.6;4440;3379;1909;1831;249;2;1;10068;85;8956;8505;451;1294;14.4
131010;Sexuelle Handlungen gemäß § 176 Abs. 5 StGB;127;0;0;0;21;44;37;19;6;0;0;106;84;99;91;8;12;12.1
131100;Sexuelle Handlungen gemäß § 176 Abs. 1 und 2 StGB;5032;0.1;443;8.8;1924;1475;793;786;54;1;1;4613;92;4388;4210;178;641;14.6
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1701;0;48;2.8;456;519;334;383;9;0;0;900;53;823;774;49;186;22.6
131300;Sexuelle Handlungen gemäß § 176 Abs. 4 Nr. 2 StGB;592;0;85;14.4;216;176;102;52;46;0;0;519;88;464;436;28;52;11.2
131400;Einwirken auf Kinder gemäß § 176 Abs. 4 Nr. 3 und 4 StGB;1958;0;0;0;887;469;275;223;104;0;0;1679;86;1328;1254;74;140;10.5
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;880;0;25;2.8;370;254;119;128;9;0;0;843;96;797;758;39;110;13.8
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;117;0;4;3.4;36;30;11;34;6;0;0;100;86;106;93;13;6;5.7
131700;Sonstiger schwerer sexueller Missbrauch von Kindern gemäß § 176a StGB;1401;0;60;4.3;530;412;238;206;15;1;0;1308;93;1334;1262;72;180;13.5
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7558;0.1;0;0;1643;2234;1807;1853;21;0;0;3935;52;3175;3102;73;881;27.7
132010;Exhibitionistische Handlungen § 183 StGB;6838;0.1;0;0;1470;2060;1658;1629;21;0;0;3439;50;2685;2685;0;795;29.6
132020;Erregung öffentlichen Ärgernisses § 183a StGB;720;0;0;0;173;174;149;224;0;0;0;496;69;535;462;73;99;18.5
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;1103;0;231;20.9;360;366;208;153;16;0;0;994;90;888;866;22;137;15.4
